gas_day,horizon,report_notice_id,report_updated_on,transport_state,screen_state,active_maintenance_row_count,affected_segment_count,affected_zone_count,modeled_conflict_row_count,modeled_conflict_segment_count,largest_single_reduction_dth_per_day,largest_conditional_shortfall_dth_per_day,peak_station_label,peak_segment_id,peak_zone,peak_direction,peak_segment_states,affected_zones,capacity_source_posted_at_utc,calculated_at_utc
2026-08-31,today,403802,2026-08-27,localized_schedule_conflict,below_50000_dth_per_day_review_threshold,14,14,8,1,1,565000,22867,Station 860 (segment 548 BH),548,Z1,BH,"AL, TN","Z0, Z1, Z2, Z3, Z4, Z5, Z6, ZL",2026-08-31T01:47:00.000000Z,2026-08-31T14:44:49.598294Z
2026-09-01,next_7_days,403802,2026-08-27,localized_schedule_conflict,below_50000_dth_per_day_review_threshold,15,15,8,1,1,645000,22867,Station 860 (segment 548 BH),548,Z1,BH,"AL, TN","Z0, Z1, Z2, Z3, Z4, Z5, Z6, ZL",2026-08-31T01:47:00.000000Z,2026-08-31T14:44:49.598294Z
2026-09-02,next_7_days,403802,2026-08-27,localized_schedule_conflict,below_50000_dth_per_day_review_threshold,15,15,8,1,1,565000,22867,Station 860 (segment 548 BH),548,Z1,BH,"AL, TN","Z0, Z1, Z2, Z3, Z4, Z5, Z6, ZL",2026-08-31T01:47:00.000000Z,2026-08-31T14:44:49.598294Z
2026-09-03,next_7_days,403802,2026-08-27,localized_schedule_conflict,below_50000_dth_per_day_review_threshold,13,13,8,1,1,565000,22867,Station 860 (segment 548 BH),548,Z1,BH,"AL, TN","Z0, Z1, Z2, Z3, Z4, Z5, Z6, ZL",2026-08-31T01:47:00.000000Z,2026-08-31T14:44:49.598294Z
2026-09-04,next_7_days,403802,2026-08-27,localized_schedule_conflict,below_50000_dth_per_day_review_threshold,13,13,8,1,1,565000,22867,Station 860 (segment 548 BH),548,Z1,BH,"AL, TN","Z0, Z1, Z2, Z3, Z4, Z5, Z6, ZL",2026-08-31T01:47:00.000000Z,2026-08-31T14:44:49.598294Z
2026-09-05,next_7_days,403802,2026-08-27,localized_schedule_conflict,below_50000_dth_per_day_review_threshold,10,10,7,1,1,565000,22867,Station 860 (segment 548 BH),548,Z1,BH,"AL, TN","Z0, Z1, Z2, Z3, Z5, Z6, ZL",2026-08-31T01:47:00.000000Z,2026-08-31T14:44:49.598294Z
2026-09-06,next_7_days,403802,2026-08-27,localized_schedule_conflict,below_50000_dth_per_day_review_threshold,9,9,7,1,1,565000,22867,Station 860 (segment 548 BH),548,Z1,BH,"AL, TN","Z0, Z1, Z2, Z3, Z5, Z6, ZL",2026-08-31T01:47:00.000000Z,2026-08-31T14:44:49.598294Z
2026-09-07,days_8_to_30,403802,2026-08-27,multi_segment_schedule_conflict,active_review,16,15,7,3,3,577000,514703,Station 313 Discharge (segment 399 FH),399,Z4,FH,PA,"Z0, Z1, Z2, Z4, Z5, Z6, ZL",2026-08-31T01:47:00.000000Z,2026-08-31T14:44:49.598294Z
2026-09-08,days_8_to_30,403802,2026-08-27,multi_segment_schedule_conflict,active_review,16,15,7,3,3,577000,514703,Station 313 Discharge (segment 399 FH),399,Z4,FH,PA,"Z0, Z1, Z2, Z4, Z5, Z6, ZL",2026-08-31T01:47:00.000000Z,2026-08-31T14:44:49.598294Z
2026-09-09,days_8_to_30,403802,2026-08-27,multi_segment_schedule_conflict,active_review,16,15,7,3,3,577000,514703,Station 313 Discharge (segment 399 FH),399,Z4,FH,PA,"Z0, Z1, Z2, Z4, Z5, Z6, ZL",2026-08-31T01:47:00.000000Z,2026-08-31T14:44:49.598294Z
2026-09-10,days_8_to_30,403802,2026-08-27,multi_segment_schedule_conflict,active_review,16,15,7,3,3,577000,514703,Station 313 Discharge (segment 399 FH),399,Z4,FH,PA,"Z0, Z1, Z2, Z4, Z5, Z6, ZL",2026-08-31T01:47:00.000000Z,2026-08-31T14:44:49.598294Z
2026-09-11,days_8_to_30,403802,2026-08-27,multi_segment_schedule_conflict,active_review,16,15,7,3,3,577000,514703,Station 313 Discharge (segment 399 FH),399,Z4,FH,PA,"Z0, Z1, Z2, Z4, Z5, Z6, ZL",2026-08-31T01:47:00.000000Z,2026-08-31T14:44:49.598294Z
2026-09-12,days_8_to_30,403802,2026-08-27,multi_segment_schedule_conflict,active_review,16,15,7,3,3,577000,514703,Station 313 Discharge (segment 399 FH),399,Z4,FH,PA,"Z0, Z1, Z2, Z4, Z5, Z6, ZL",2026-08-31T01:47:00.000000Z,2026-08-31T14:44:49.598294Z
2026-09-13,days_8_to_30,403802,2026-08-27,multi_segment_schedule_conflict,active_review,16,15,7,3,3,577000,514703,Station 313 Discharge (segment 399 FH),399,Z4,FH,PA,"Z0, Z1, Z2, Z4, Z5, Z6, ZL",2026-08-31T01:47:00.000000Z,2026-08-31T14:44:49.598294Z
2026-09-14,days_8_to_30,403802,2026-08-27,multi_segment_schedule_conflict,active_review,15,15,8,3,3,868000,687867,Station 860 (segment 548 BH),548,Z1,BH,"AL, TN","Z0, Z1, Z2, Z3, Z4, Z5, Z6, ZL",2026-08-31T01:47:00.000000Z,2026-08-31T14:44:49.598294Z
2026-09-15,days_8_to_30,403802,2026-08-27,multi_segment_schedule_conflict,active_review,15,15,8,3,3,868000,687867,Station 860 (segment 548 BH),548,Z1,BH,"AL, TN","Z0, Z1, Z2, Z3, Z4, Z5, Z6, ZL",2026-08-31T01:47:00.000000Z,2026-08-31T14:44:49.598294Z
2026-09-16,days_8_to_30,403802,2026-08-27,multi_segment_schedule_conflict,active_review,15,15,8,3,3,868000,687867,Station 860 (segment 548 BH),548,Z1,BH,"AL, TN","Z0, Z1, Z2, Z3, Z4, Z5, Z6, ZL",2026-08-31T01:47:00.000000Z,2026-08-31T14:44:49.598294Z
2026-09-17,days_8_to_30,403802,2026-08-27,multi_segment_schedule_conflict,active_review,15,15,8,3,3,868000,687867,Station 860 (segment 548 BH),548,Z1,BH,"AL, TN","Z0, Z1, Z2, Z3, Z4, Z5, Z6, ZL",2026-08-31T01:47:00.000000Z,2026-08-31T14:44:49.598294Z
2026-09-18,days_8_to_30,403802,2026-08-27,multi_segment_schedule_conflict,active_review,15,15,8,3,3,868000,687867,Station 860 (segment 548 BH),548,Z1,BH,"AL, TN","Z0, Z1, Z2, Z3, Z4, Z5, Z6, ZL",2026-08-31T01:47:00.000000Z,2026-08-31T14:44:49.598294Z
2026-09-19,days_8_to_30,403802,2026-08-27,multi_segment_schedule_conflict,active_review,15,15,8,3,3,868000,687867,Station 860 (segment 548 BH),548,Z1,BH,"AL, TN","Z0, Z1, Z2, Z3, Z4, Z5, Z6, ZL",2026-08-31T01:47:00.000000Z,2026-08-31T14:44:49.598294Z
2026-09-20,days_8_to_30,403802,2026-08-27,multi_segment_schedule_conflict,active_review,15,15,8,3,3,868000,687867,Station 860 (segment 548 BH),548,Z1,BH,"AL, TN","Z0, Z1, Z2, Z3, Z4, Z5, Z6, ZL",2026-08-31T01:47:00.000000Z,2026-08-31T14:44:49.598294Z
