capacity_kind,point_role,gas_day,effective_at_utc,effective_at_operator_local,cycle,operator_location_id,operator_segment_id,location_name,zone,facility_id,segment_id,flow_direction,design_capacity_dth_per_day,operating_capacity_dth_per_day,scheduled_quantity_dth_per_day,available_capacity_dth_per_day,interruptible_scheduled,all_quantity_available,quantity_reason,available_reconciles,source_posted_at_utc,observed_at_utc,available_at_utc,measurement_basis,content_sha256,canonical_url,raw_path,artifact_id
point,delivery,2026-08-31,2026-08-31T14:00:00.000000Z,2026-08-31T09:00:00,EVENING,411306,101,ENTRPRSE/TGP AGUA DULCE NUECES,00,TGP:411306,TGP:SEG:101,BD,294678,294678.0,0.0,294678.0,False,True,,True,2026-08-31T01:46:00.000000Z,2026-08-31T14:44:23.756307Z,2026-08-31T14:44:23.756307Z,Million BTU's (displayed as Dth),7d3a3704ceb7fce4f1996b3595e796aae4d0ce40ed8dd8ebf2e12a22da533c67,https://pipeline2.kindermorgan.com/Capacity/OpAvailPoint.aspx?code=TGP,data/raw/km_tgp_point_delivery_capacity/2026/08/31/7d3a3704ceb7fce4f1996b3595e796aae4d0ce40ed8dd8ebf2e12a22da533c67.xlsx,km_tgp_point_delivery_capacity:1788187463756307000:7d3a3704ceb7fce4f1996b3595e796aae4d0ce40ed8dd8ebf2e12a22da533c67
point,delivery,2026-08-31,2026-08-31T14:00:00.000000Z,2026-08-31T09:00:00,EVENING,412062,101,BANHUB/TGP BANQUETE TRANSPORT NUECE,00,TGP:412062,TGP:SEG:101,BD,182450,182450.0,8006.0,174444.0,False,True,,True,2026-08-31T01:46:00.000000Z,2026-08-31T14:44:23.756307Z,2026-08-31T14:44:23.756307Z,Million BTU's (displayed as Dth),7d3a3704ceb7fce4f1996b3595e796aae4d0ce40ed8dd8ebf2e12a22da533c67,https://pipeline2.kindermorgan.com/Capacity/OpAvailPoint.aspx?code=TGP,data/raw/km_tgp_point_delivery_capacity/2026/08/31/7d3a3704ceb7fce4f1996b3595e796aae4d0ce40ed8dd8ebf2e12a22da533c67.xlsx,km_tgp_point_delivery_capacity:1788187463756307000:7d3a3704ceb7fce4f1996b3595e796aae4d0ce40ed8dd8ebf2e12a22da533c67
point,delivery,2026-08-31,2026-08-31T14:00:00.000000Z,2026-08-31T09:00:00,EVENING,421083,101,ENLINK/TGP PORT OF VICTORIA: DIP 8H,00,TGP:421083,TGP:SEG:101,D,2767,2767.0,0.0,2767.0,False,True,,True,2026-08-31T01:46:00.000000Z,2026-08-31T14:44:23.756307Z,2026-08-31T14:44:23.756307Z,Million BTU's (displayed as Dth),7d3a3704ceb7fce4f1996b3595e796aae4d0ce40ed8dd8ebf2e12a22da533c67,https://pipeline2.kindermorgan.com/Capacity/OpAvailPoint.aspx?code=TGP,data/raw/km_tgp_point_delivery_capacity/2026/08/31/7d3a3704ceb7fce4f1996b3595e796aae4d0ce40ed8dd8ebf2e12a22da533c67.xlsx,km_tgp_point_delivery_capacity:1788187463756307000:7d3a3704ceb7fce4f1996b3595e796aae4d0ce40ed8dd8ebf2e12a22da533c67
point,delivery,2026-08-31,2026-08-31T14:00:00.000000Z,2026-08-31T09:00:00,EVENING,47799,101,NMP/TGP GILLRINA ROAD NUECES,00,TGP:47799,TGP:SEG:101,BD,512500,512500.0,477280.0,35220.0,False,True,,True,2026-08-31T01:46:00.000000Z,2026-08-31T14:44:23.756307Z,2026-08-31T14:44:23.756307Z,Million BTU's (displayed as Dth),7d3a3704ceb7fce4f1996b3595e796aae4d0ce40ed8dd8ebf2e12a22da533c67,https://pipeline2.kindermorgan.com/Capacity/OpAvailPoint.aspx?code=TGP,data/raw/km_tgp_point_delivery_capacity/2026/08/31/7d3a3704ceb7fce4f1996b3595e796aae4d0ce40ed8dd8ebf2e12a22da533c67.xlsx,km_tgp_point_delivery_capacity:1788187463756307000:7d3a3704ceb7fce4f1996b3595e796aae4d0ce40ed8dd8ebf2e12a22da533c67
point,delivery,2026-08-31,2026-08-31T14:00:00.000000Z,2026-08-31T09:00:00,EVENING,49861,101,CCCPL/TGP SINTON SAN PATRICIO,00,TGP:49861,TGP:SEG:101,BD,768750,768750.0,373795.0,394955.0,True,True,,True,2026-08-31T01:46:00.000000Z,2026-08-31T14:44:23.756307Z,2026-08-31T14:44:23.756307Z,Million BTU's (displayed as Dth),7d3a3704ceb7fce4f1996b3595e796aae4d0ce40ed8dd8ebf2e12a22da533c67,https://pipeline2.kindermorgan.com/Capacity/OpAvailPoint.aspx?code=TGP,data/raw/km_tgp_point_delivery_capacity/2026/08/31/7d3a3704ceb7fce4f1996b3595e796aae4d0ce40ed8dd8ebf2e12a22da533c67.xlsx,km_tgp_point_delivery_capacity:1788187463756307000:7d3a3704ceb7fce4f1996b3595e796aae4d0ce40ed8dd8ebf2e12a22da533c67
point,delivery,2026-08-31,2026-08-31T14:00:00.000000Z,2026-08-31T09:00:00,EVENING,53608,101,VCP/TGP VALLEY CROSSING ALLOCATION,00,TGP:53608,TGP:SEG:101,BD,717500,717500.0,53943.0,663557.0,False,True,,True,2026-08-31T01:46:00.000000Z,2026-08-31T14:44:23.756307Z,2026-08-31T14:44:23.756307Z,Million BTU's (displayed as Dth),7d3a3704ceb7fce4f1996b3595e796aae4d0ce40ed8dd8ebf2e12a22da533c67,https://pipeline2.kindermorgan.com/Capacity/OpAvailPoint.aspx?code=TGP,data/raw/km_tgp_point_delivery_capacity/2026/08/31/7d3a3704ceb7fce4f1996b3595e796aae4d0ce40ed8dd8ebf2e12a22da533c67.xlsx,km_tgp_point_delivery_capacity:1788187463756307000:7d3a3704ceb7fce4f1996b3595e796aae4d0ce40ed8dd8ebf2e12a22da533c67
point,delivery,2026-08-31,2026-08-31T14:00:00.000000Z,2026-08-31T09:00:00,EVENING,53654,101,TRESPORT/TGP OLD BLOOMINGTON POWER,00,TGP:53654,TGP:SEG:101,D,20500,20500.0,7461.0,13039.0,False,True,,True,2026-08-31T01:46:00.000000Z,2026-08-31T14:44:23.756307Z,2026-08-31T14:44:23.756307Z,Million BTU's (displayed as Dth),7d3a3704ceb7fce4f1996b3595e796aae4d0ce40ed8dd8ebf2e12a22da533c67,https://pipeline2.kindermorgan.com/Capacity/OpAvailPoint.aspx?code=TGP,data/raw/km_tgp_point_delivery_capacity/2026/08/31/7d3a3704ceb7fce4f1996b3595e796aae4d0ce40ed8dd8ebf2e12a22da533c67.xlsx,km_tgp_point_delivery_capacity:1788187463756307000:7d3a3704ceb7fce4f1996b3595e796aae4d0ce40ed8dd8ebf2e12a22da533c67
point,delivery,2026-08-31,2026-08-31T14:00:00.000000Z,2026-08-31T09:00:00,EVENING,53655,101,VPP II/TGP OLD BLOOMINGTON POWER 2,00,TGP:53655,TGP:SEG:101,D,20500,20500.0,4993.0,15507.0,False,True,,True,2026-08-31T01:46:00.000000Z,2026-08-31T14:44:23.756307Z,2026-08-31T14:44:23.756307Z,Million BTU's (displayed as Dth),7d3a3704ceb7fce4f1996b3595e796aae4d0ce40ed8dd8ebf2e12a22da533c67,https://pipeline2.kindermorgan.com/Capacity/OpAvailPoint.aspx?code=TGP,data/raw/km_tgp_point_delivery_capacity/2026/08/31/7d3a3704ceb7fce4f1996b3595e796aae4d0ce40ed8dd8ebf2e12a22da533c67.xlsx,km_tgp_point_delivery_capacity:1788187463756307000:7d3a3704ceb7fce4f1996b3595e796aae4d0ce40ed8dd8ebf2e12a22da533c67
point,delivery,2026-08-31,2026-08-31T14:00:00.000000Z,2026-08-31T09:00:00,EVENING,56830,101,INVNYLON/TGP GREENFIELD DELIVERY VI,00,TGP:56830,TGP:SEG:101,D,92250,92250.0,24969.0,67281.0,False,True,,True,2026-08-31T01:46:00.000000Z,2026-08-31T14:44:23.756307Z,2026-08-31T14:44:23.756307Z,Million BTU's (displayed as Dth),7d3a3704ceb7fce4f1996b3595e796aae4d0ce40ed8dd8ebf2e12a22da533c67,https://pipeline2.kindermorgan.com/Capacity/OpAvailPoint.aspx?code=TGP,data/raw/km_tgp_point_delivery_capacity/2026/08/31/7d3a3704ceb7fce4f1996b3595e796aae4d0ce40ed8dd8ebf2e12a22da533c67.xlsx,km_tgp_point_delivery_capacity:1788187463756307000:7d3a3704ceb7fce4f1996b3595e796aae4d0ce40ed8dd8ebf2e12a22da533c67
point,delivery,2026-08-31,2026-08-31T14:00:00.000000Z,2026-08-31T09:00:00,EVENING,420158,109,COKINOS/TGP RAUN FARM TX WHARTON,00,TGP:420158,TGP:SEG:109,D,1010,1010.0,159.0,851.0,True,True,,True,2026-08-31T01:46:00.000000Z,2026-08-31T14:44:23.756307Z,2026-08-31T14:44:23.756307Z,Million BTU's (displayed as Dth),7d3a3704ceb7fce4f1996b3595e796aae4d0ce40ed8dd8ebf2e12a22da533c67,https://pipeline2.kindermorgan.com/Capacity/OpAvailPoint.aspx?code=TGP,data/raw/km_tgp_point_delivery_capacity/2026/08/31/7d3a3704ceb7fce4f1996b3595e796aae4d0ce40ed8dd8ebf2e12a22da533c67.xlsx,km_tgp_point_delivery_capacity:1788187463756307000:7d3a3704ceb7fce4f1996b3595e796aae4d0ce40ed8dd8ebf2e12a22da533c67
