operator_location_id,location_name,flow_role,flow_role_label,location_type,county_name,state_abbreviation,receipt_zone,delivery_zone,operator_segment_id,interconnect_indicator,counterparty_name,counterparty_ferc_cid,latitude,longitude,coordinate_method,coordinate_precision,matched_geography_id,matched_geography_name,location_artifact_id,coordinate_artifact_id,observed_at_utc
420696,AMMID TN/TGP BARTON TRANSPORT COLBE,D,delivery,INT,COLBERT,AL,Z1,Z1,548,True,AMERICAN MIDSTREAM (TENNESSEE RIVER) LLC,,34.703112,-87.801457,census_county_internal_point,county,01033,Colbert County,km_tgp_locations:1787939514021564000:470a5ca9ff1632ccbae5df41106523761d4ea1990719dabdb968f31231c16847,census_county_gazetteer:1787939514135521000:4c90d0f805779923b5958ab13d0c1e9b99fe4932b786bfcf75dd739bb2dcb4ea,2026-08-28T17:51:54.021564Z
420307,BBT ALTN/TGP BARTON AL COLBERT,D,delivery,INT,COLBERT,AL,Z1,Z1,548,True,BBT ALATENN LLC,C001023,34.703112,-87.801457,census_county_internal_point,county,01033,Colbert County,km_tgp_locations:1787939514021564000:470a5ca9ff1632ccbae5df41106523761d4ea1990719dabdb968f31231c16847,census_county_gazetteer:1787939514135521000:4c90d0f805779923b5958ab13d0c1e9b99fe4932b786bfcf75dd739bb2dcb4ea,2026-08-28T17:51:54.021564Z
55544,BBT ALTN/TGP BARTON TVA DELIVERY CO,D,delivery,INT,COLBERT,AL,Z1,Z1,548,True,BBT ALATENN LLC,C001023,34.703112,-87.801457,census_county_internal_point,county,01033,Colbert County,km_tgp_locations:1787939514021564000:470a5ca9ff1632ccbae5df41106523761d4ea1990719dabdb968f31231c16847,census_county_gazetteer:1787939514135521000:4c90d0f805779923b5958ab13d0c1e9b99fe4932b786bfcf75dd739bb2dcb4ea,2026-08-28T17:51:54.021564Z
420942,BBT BAMA/TGP BAMAGAS COLBERT,D,delivery,EGN,COLBERT,AL,Z1,Z1,548,True,BBT BAMAGAS INTRASTATE LLC,C006560,34.703112,-87.801457,census_county_internal_point,county,01033,Colbert County,km_tgp_locations:1787939514021564000:470a5ca9ff1632ccbae5df41106523761d4ea1990719dabdb968f31231c16847,census_county_gazetteer:1787939514135521000:4c90d0f805779923b5958ab13d0c1e9b99fe4932b786bfcf75dd739bb2dcb4ea,2026-08-28T17:51:54.021564Z
420646,N ALAGAS/TGP CHEROKEE AL SALES 2 C,D,delivery,LDC,COLBERT,AL,Z1,Z1,548,True,NORTH ALABAMA GAS DISTRICT,,34.703112,-87.801457,census_county_internal_point,county,01033,Colbert County,km_tgp_locations:1787939514021564000:470a5ca9ff1632ccbae5df41106523761d4ea1990719dabdb968f31231c16847,census_county_gazetteer:1787939514135521000:4c90d0f805779923b5958ab13d0c1e9b99fe4932b786bfcf75dd739bb2dcb4ea,2026-08-28T17:51:54.021564Z
421031,SYMMETRY/TGP COLBERT COLBERT,D,delivery,LDC,COLBERT,AL,Z1,Z1,548,True,SYMMETRY ENERGY SOLUTIONS LLC,,34.703112,-87.801457,census_county_internal_point,county,01033,Colbert County,km_tgp_locations:1787939514021564000:470a5ca9ff1632ccbae5df41106523761d4ea1990719dabdb968f31231c16847,census_county_gazetteer:1787939514135521000:4c90d0f805779923b5958ab13d0c1e9b99fe4932b786bfcf75dd739bb2dcb4ea,2026-08-28T17:51:54.021564Z
420860,RUSSLVIL/TGP RUSSELLVILLE AL SALES,D,delivery,LDC,FRANKLIN,AL,Z1,Z1,548,True,THE GAS BOARD OF THE CITY OF RUSSELLVILLE,,34.441989,-87.842814,census_county_internal_point,county,01059,Franklin County,km_tgp_locations:1787939514021564000:470a5ca9ff1632ccbae5df41106523761d4ea1990719dabdb968f31231c16847,census_county_gazetteer:1787939514135521000:4c90d0f805779923b5958ab13d0c1e9b99fe4932b786bfcf75dd739bb2dcb4ea,2026-08-28T17:51:54.021564Z
420475,VINA/TGP VINA AL FRANKLIN,D,delivery,LDC,FRANKLIN,AL,Z1,Z1,548,True,VINA GAS BOARD OF THE TOWN OF,,34.441989,-87.842814,census_county_internal_point,county,01059,Franklin County,km_tgp_locations:1787939514021564000:470a5ca9ff1632ccbae5df41106523761d4ea1990719dabdb968f31231c16847,census_county_gazetteer:1787939514135521000:4c90d0f805779923b5958ab13d0c1e9b99fe4932b786bfcf75dd739bb2dcb4ea,2026-08-28T17:51:54.021564Z
48033,BBTBAMA/TGP FAYETTE VERNON LAMAR,D,delivery,INT,LAMAR,AL,Z1,Z1,548,True,BBT ALABAMA LLC,,33.787085,-88.087431,census_county_internal_point,county,01075,Lamar County,km_tgp_locations:1787939514021564000:470a5ca9ff1632ccbae5df41106523761d4ea1990719dabdb968f31231c16847,census_county_gazetteer:1787939514135521000:4c90d0f805779923b5958ab13d0c1e9b99fe4932b786bfcf75dd739bb2dcb4ea,2026-08-28T17:51:54.021564Z
420879,BBTBAMA/TGP MOUNT ZION LAMAR,D,delivery,INT,LAMAR,AL,Z1,Z1,542,True,BBT ALABAMA LLC,,33.787085,-88.087431,census_county_internal_point,county,01075,Lamar County,km_tgp_locations:1787939514021564000:470a5ca9ff1632ccbae5df41106523761d4ea1990719dabdb968f31231c16847,census_county_gazetteer:1787939514135521000:4c90d0f805779923b5958ab13d0c1e9b99fe4932b786bfcf75dd739bb2dcb4ea,2026-08-28T17:51:54.021564Z
412709,FREEBIRD/TGP FREEBIRD STORAGE LAMAR,B,bidirectional,STR,LAMAR,AL,Z1,Z1,548,True,FREEBIRD GAS STORAGE LLC,C001758,33.787085,-88.087431,census_county_internal_point,county,01075,Lamar County,km_tgp_locations:1787939514021564000:470a5ca9ff1632ccbae5df41106523761d4ea1990719dabdb968f31231c16847,census_county_gazetteer:1787939514135521000:4c90d0f805779923b5958ab13d0c1e9b99fe4932b786bfcf75dd739bb2dcb4ea,2026-08-28T17:51:54.021564Z
411418,HUGHES E/TGP MOLLY RICHARDS 1 DEHY,R,receipt,WHD,LAMAR,AL,Z1,Z1,542,True,HUGHES EASTERN CORPORATION,,33.787085,-88.087431,census_county_internal_point,county,01075,Lamar County,km_tgp_locations:1787939514021564000:470a5ca9ff1632ccbae5df41106523761d4ea1990719dabdb968f31231c16847,census_county_gazetteer:1787939514135521000:4c90d0f805779923b5958ab13d0c1e9b99fe4932b786bfcf75dd739bb2dcb4ea,2026-08-28T17:51:54.021564Z
411675,HUGHES E/TGP UDP GREENWOOD SPRINGS,R,receipt,WHD,LAMAR,AL,Z1,Z1,548,True,HUGHES EASTERN CORPORATION,,33.787085,-88.087431,census_county_internal_point,county,01075,Lamar County,km_tgp_locations:1787939514021564000:470a5ca9ff1632ccbae5df41106523761d4ea1990719dabdb968f31231c16847,census_county_gazetteer:1787939514135521000:4c90d0f805779923b5958ab13d0c1e9b99fe4932b786bfcf75dd739bb2dcb4ea,2026-08-28T17:51:54.021564Z
412527,HUGHES E/TGP YELLOW CREEK WATERS,R,receipt,WHD,LAMAR,AL,Z1,Z1,542,True,HUGHES EASTERN CORPORATION,,33.787085,-88.087431,census_county_internal_point,county,01075,Lamar County,km_tgp_locations:1787939514021564000:470a5ca9ff1632ccbae5df41106523761d4ea1990719dabdb968f31231c16847,census_county_gazetteer:1787939514135521000:4c90d0f805779923b5958ab13d0c1e9b99fe4932b786bfcf75dd739bb2dcb4ea,2026-08-28T17:51:54.021564Z
421061,MNROE GS/TGP MONROE GAS STORAGE REC,B,bidirectional,STR,LAMAR,AL,Z1,Z1,548,True,MONROE GAS STORAGE COMPANY LLC,C001591,33.787085,-88.087431,census_county_internal_point,county,01075,Lamar County,km_tgp_locations:1787939514021564000:470a5ca9ff1632ccbae5df41106523761d4ea1990719dabdb968f31231c16847,census_county_gazetteer:1787939514135521000:4c90d0f805779923b5958ab13d0c1e9b99fe4932b786bfcf75dd739bb2dcb4ea,2026-08-28T17:51:54.021564Z
412133,SOUTHXEN/TGP MILLPORT MCGEE TRANSPO,R,receipt,INT,LAMAR,AL,Z1,Z1,542,True,SOUTHCROSS ENERGY GP LLC,,33.787085,-88.087431,census_county_internal_point,county,01075,Lamar County,km_tgp_locations:1787939514021564000:470a5ca9ff1632ccbae5df41106523761d4ea1990719dabdb968f31231c16847,census_county_gazetteer:1787939514135521000:4c90d0f805779923b5958ab13d0c1e9b99fe4932b786bfcf75dd739bb2dcb4ea,2026-08-28T17:51:54.021564Z
412132,SOUTHXEN/TGP STAR TRANSPORT LAMAR,R,receipt,INT,LAMAR,AL,Z1,Z1,542,True,SOUTHCROSS ENERGY GP LLC,,33.787085,-88.087431,census_county_internal_point,county,01075,Lamar County,km_tgp_locations:1787939514021564000:470a5ca9ff1632ccbae5df41106523761d4ea1990719dabdb968f31231c16847,census_county_gazetteer:1787939514135521000:4c90d0f805779923b5958ab13d0c1e9b99fe4932b786bfcf75dd739bb2dcb4ea,2026-08-28T17:51:54.021564Z
420577,FLORENC/TGP FLORENCE AL SALES LAUDE,D,delivery,LDC,LAUDERDALE,AL,Z1,Z1,548,True,CITY OF FLORENCE GAS DEPARTMENT,,34.904168,-87.651108,census_county_internal_point,county,01077,Lauderdale County,km_tgp_locations:1787939514021564000:470a5ca9ff1632ccbae5df41106523761d4ea1990719dabdb968f31231c16847,census_county_gazetteer:1787939514135521000:4c90d0f805779923b5958ab13d0c1e9b99fe4932b786bfcf75dd739bb2dcb4ea,2026-08-28T17:51:54.021564Z
420882,FLORENC/TGP FLORENCE SALES LAUDERDA,D,delivery,LDC,LAUDERDALE,AL,Z1,Z1,548,True,CITY OF FLORENCE GAS DEPARTMENT,,34.904168,-87.651108,census_county_internal_point,county,01077,Lauderdale County,km_tgp_locations:1787939514021564000:470a5ca9ff1632ccbae5df41106523761d4ea1990719dabdb968f31231c16847,census_county_gazetteer:1787939514135521000:4c90d0f805779923b5958ab13d0c1e9b99fe4932b786bfcf75dd739bb2dcb4ea,2026-08-28T17:51:54.021564Z
