notice_id,report_updated_on,posted_at_utc,first_forecast_date,last_forecast_date,station_period_rows,station_count,populated_capacity_rows,max_reduction_dth_per_day,reduction_mismatch_count,artifact_id,observed_at_utc
403802,2026-08-27,2026-08-27T19:41:15.000000Z,2026-08-31,2026-11-29,467,30,441,868000,0,km_tgp_notice_detail:1787932505364330000:46485bb248300193468625e90e1a0552f36c4adb8a4d2cdff1a507c289e82063,2026-08-28T15:55:05.364330Z
403802,2026-08-27,2026-08-27T19:41:15.000000Z,2026-08-31,2026-11-29,467,30,441,868000,0,km_tgp_notice_detail:1788197456279496000:cc4e15187816ef531b2c0d32f54f0c4fc2731bd4f14670beb540a5551574d909,2026-08-31T17:30:56.279496Z
403635,2026-08-20,2026-08-20T19:53:52.000000Z,2026-08-24,2026-11-29,456,31,456,868000,0,km_tgp_notice_detail:1787932512717694000:4e5308a6b60198988cebfe87c90c7936ec29248dea254a2e2949d8b71262ebc6,2026-08-28T15:55:12.717694Z
403635,2026-08-20,2026-08-20T19:53:52.000000Z,2026-08-24,2026-11-29,456,31,456,868000,0,km_tgp_notice_detail:1788197466277820000:5d2d11d5471ff00d86dc989f8968856a7505ac872f1084af159cb8969cf992b4,2026-08-31T17:31:06.277820Z
403497,2026-08-13,2026-08-14T12:57:39.000000Z,2026-08-03,2026-11-01,469,30,403,883000,2,km_tgp_notice_detail:1787932524832370000:4eee644b9a73e2d29296826918c17f5bb3276f338fcd44517c67dca7bed33e5c,2026-08-28T15:55:24.832370Z
403482,2026-08-13,2026-08-13T19:31:24.000000Z,2026-08-03,2026-11-01,469,30,403,883000,2,km_tgp_notice_detail:1787932528819854000:678d69626094a0599a74f57a5771456aa63c15ca0c63d83faae8701364bfb278,2026-08-28T15:55:28.819854Z
403321,2026-08-06,2026-08-06T19:57:49.000000Z,2026-08-03,2026-11-01,460,29,412,883000,0,km_tgp_notice_detail:1787932357163476000:a45d8a8743bfa23ad8736d661a3824697a54515dfb0438b0c2094a2c6efc8c1d,2026-08-28T15:52:37.163476Z
403321,2026-08-06,2026-08-06T19:57:49.000000Z,2026-08-03,2026-11-01,460,29,412,883000,0,km_tgp_notice_detail:1788185349328713000:9e8be2d17442b5006a97718c5f0cdd0b26223c39fa7bf4ee8410708d8f2e7a81,2026-08-31T14:09:09.328713Z
403182,2026-07-30,2026-07-31T19:43:25.000000Z,2026-08-03,2026-11-01,474,31,450,868000,0,km_tgp_notice_detail:1787932361464709000:331b186e680f823a4f29c92d64ddce5b1e86366b0e14d7611e3212104bbb921e,2026-08-28T15:52:41.464709Z
402992,2026-07-23,2026-07-23T19:42:45.000000Z,2026-07-27,2026-11-01,504,32,504,868000,0,km_tgp_notice_detail:1787932370736954000:4e77d98a0e2e98af313f56eb80b85994d001475a2e85e6cbe14568f0d0d96487,2026-08-28T15:52:50.736954Z
402843,2026-07-16,2026-07-16T19:31:39.000000Z,2026-06-29,2026-09-27,490,31,390,1030000,0,km_tgp_notice_detail:1787932379861928000:23741b66d7407ab1b0aa02cbf87f8ad866a92ac7c4970e9018c70e03306c4863,2026-08-28T15:52:59.861928Z
402674,2026-07-09,2026-07-09T19:43:32.000000Z,2026-06-29,2026-09-27,495,31,417,807000,0,km_tgp_notice_detail:1787932440411970000:fe760e2691bbc4b678db9da376209d6169743431155205cc6327667d3fd200dd,2026-08-28T15:54:00.411970Z
402501,2026-07-02,2026-07-02T19:53:19.000000Z,2026-06-29,2026-09-27,500,32,446,807000,0,km_tgp_notice_detail:1787932452517286000:1bbf6c95d19b3eaf408117dc7d0b38ab933399e56e1dbdc08adf9784f1b2f273,2026-08-28T15:54:12.517286Z
402329,2026-06-25,2026-06-25T19:53:57.000000Z,2026-06-29,2026-09-27,507,33,480,807000,0,km_tgp_notice_detail:1787932459359984000:c79e99b1354e8edd30b1cf3abe4fbe83ae10e868609813610ce07f8436c1299f,2026-08-28T15:54:19.359984Z
402258,2026-06-18,2026-06-22T13:16:52.000000Z,2026-06-22,2026-09-27,500,35,500,807000,0,km_tgp_notice_detail:1787932463493233000:bff78f95343e67eb95094173bb77a78809216d3fe31e6cfdd23115f63e89ee3e,2026-08-28T15:54:23.493233Z
402178,2026-06-18,2026-06-18T20:10:53.000000Z,2026-06-22,2026-09-27,500,35,500,807000,0,km_tgp_notice_detail:1787932467394996000:83900cffdb5d97175dcc8eb62976ef019cb8290e856cfd61c6554cc047d18ef5,2026-08-28T15:54:27.394996Z
402010,2026-06-11,2026-06-11T21:15:59.000000Z,2026-06-01,2026-08-30,485,32,419,790000,0,km_tgp_notice_detail:1787932475857653000:2b26b2f67320296e4b33c326a7717e0707050a471432e822aa5fec309f0bee7d,2026-08-28T15:54:35.857653Z
401825,2026-06-04,2026-06-04T19:32:43.000000Z,2026-06-01,2026-08-30,509,35,459,937000,0,km_tgp_notice_detail:1787932495723750000:8d5a8d0c3226e64f800ea04248be927068acc0a5b86065d70ad09bce9c147913,2026-08-28T15:54:55.723750Z
